-------- dia 0 --------
Nome, PrazoParaVenda, Qualidade
Ingressos para o concerto do Turisas, -10, 0
Bolo de Mana Conjurado, -12, 0

-------- dia 16 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -6, 0
Queijo Brie Envelhecido, -14, 30
Elixir do Mangusto, -11, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -1, 0
Ingressos para o concerto do Turisas, -6, 0
Ingressos para o concerto do Turisas, -11, 0
Bolo de Mana Conjurado, -13, 0

-------- dia 17 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -7, 0
Queijo Brie Envelhecido, -15, 32
Elixir do Mangusto, -12, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -2, 0
Ingressos para o concerto do Turisas, -7, 0
Ingressos para o concerto do Turisas, -12, 0
Bolo de Mana Conjurado, -14, 0

-------- dia 18 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -8, 0
Queijo Brie Envelhecido, -16, 34
Elixir do Mangusto, -13, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -3, 0
Ingressos para o concerto do Turisas, -8, 0
Ingressos para o concerto do Turisas, -13, 0
Bolo de Mana Conjurado, -15, 0

-------- dia 19 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -9, 0
Queijo Brie Envelhecido, -17, 36
Elixir do Mangusto, -14, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -4, 0
Ingressos para o concerto do Turisas, -9, 0
Ingressos para o concerto do Turisas, -14, 0
Bolo de Mana Conjurado, -16, 0

-------- dia 20 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -10, 0
Queijo Brie Envelhecido, -18, 38
Elixir do Mangusto, -15, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -5, 0
Ingressos para o concerto do Turisas, -10, 0
Ingressos para o concerto do Turisas, -15, 0
Bolo de Mana Conjurado, -17, 0

-------- dia 21 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -11, 0
Queijo Brie Envelhecido, -19, 40
Elixir do Mangusto, -16, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -6, 0
Ingressos para o concerto do Turisas, -11, 0
Ingressos para o concerto do Turisas, -16, 0
Bolo de Mana Conjurado, -18, 0

-------- dia 22 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -12, 0
Queijo Brie Envelhecido, -20, 42
Elixir do Mangusto, -17, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -7, 0
Ingressos para o concerto do Turisas, -12, 0
Ingressos para o concerto do Turisas, -17, 0
Bolo de Mana Conjurado, -19, 0

-------- dia 23 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -13, 0
Queijo Brie Envelhecido, -21, 44
Elixir do Mangusto, -18, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -8, 0
Ingressos para o concerto do Turisas, -13, 0
Ingressos para o concerto do Turisas, -18, 0
Bolo de Mana Conjurado, -20, 0

-------- dia 24 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -14, 0
Queijo Brie Envelhecido, -22, 46
Elixir do Mangusto, -19, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -9, 0
Ingressos para o concerto do Turisas, -14, 0
Ingressos para o concerto do Turisas, -19, 0
Bolo de Mana Conjurado, -21, 0

-------- dia 25 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -15, 0
Queijo Brie Envelhecido, -23, 48
Elixir do Mangusto, -20, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -10, 0
Ingressos para o concerto do Turisas, -15, 0
Ingressos para o concerto do Turisas, -20, 0
Bolo de Mana Conjurado, -22, 0

-------- dia 26 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -16, 0
Queijo Brie Envelhecido, -24, 50
Elixir do Mangusto, -21, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -11, 0
Ingressos para o concerto do Turisas, -16, 0
Ingressos para o concerto do Turisas, -21, 0
Bolo de Mana Conjurado, -23, 0

-------- dia 27 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -17, 0
Queijo Brie Envelhecido, -25, 50
Elixir do Mangusto, -22, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -12, 0
Ingressos para o concerto do Turisas, -17, 0
Ingressos para o concerto do Turisas, -22, 0
Bolo de Mana Conjurado, -24, 0

-------- dia 28 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -18, 0
Queijo Brie Envelhecido, -26, 50
Elixir do Mangusto, -23, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -13, 0
Ingressos para o concerto do Turisas, -18, 0
Ingressos para o concerto do Turisas, -23, 0
Bolo de Mana Conjurado, -25, 0

-------- dia 29 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -19, 0
Queijo Brie Envelhecido, -27, 50
Elixir do Mangusto, -24, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -14, 0
Ingressos para o concerto do Turisas, -19, 0
Ingressos para o concerto do Turisas, -24, 0
Bolo de Mana Conjurado, -26, 0

-------- dia 30 --------
Nome, PrazoParaVenda, Qualidade
Corselete +5 DEX, -20, 0
Queijo Brie Envelhecido, -28, 50
Elixir do Mangusto, -25, 0
Dente do Tarrasque, 0, 80
Dente do Tarrasque, -1, 80
Ingressos para o concerto do Turisas, -15, 0
Ingressos para o concerto do Turisas, -20, 0
Ingressos para o concerto do Turisas, -25, 0
Bolo de Mana Conjurado, -27, 0

